CD	ID	FD	WD	ED
6	35	1	0	5
8	24	1	0	7
12	47	1	0	11
13	41	1	0	12
13	57	1	0	12
15	9	1	0	14
15	29	2	4	9
22	1	7	5	10
26	58	15	0	11
26	27	3	5	18
27	46	11	2	14
29	48	13	2	14
31	12	10	12	9
34	34	17	9	8
36	38	19	7	10
39	20	3	24	12
42	28	12	25	5
46	37	5	21	20
48	30	11	22	10 *
49	25	8	28	13
54	4	4	45	5
56	49	13	27	16
59	7	17	32	10
64	33	17	31	16
65	54	18	31	16
66	50	5	37	24
73	60	2	57	14
77	53	19	45	13
80	31	17	47	16
81	10	12	53	16
83	56	3	9	9 *
86	19	14	52	20
87	8	13	60	14
89	44	10	67	12
94	21	3	80	11
95	14	2	88	5
101	40	4	77	20
102	15	6	83	13
103	45	2	93	8
108	59	9	80	19
111	3	4	85	22
114	43	3	100	11
122	42	4	104	14
128	22	5	112	11
131	23	5	117	9
144	55	5	123	16
150	26	8	126	16
162	6	9	135	18
166	39	9	141	16
181	51	10	156	15
181	32	10	155	16
197	13	11	170	16
202	2	11	173	18
214	17	16	181	17
219	5	17	185	17
232	52	17	200	15
234	18	19	200	15


Missions: 57[M: 2, P: 20, E: 35]
Rovers: 6	[M: 2, P: 2, E: 2]
Avg Wait = 65.3158, Avg Execution = 13.386
Auto-promoted = 81.25%


* beside any mission indicates that the mission has failed once and got reassigned.
